Day,Cloud_Condition
80727,Mostly Cloudy
80728,Mostly Cloudy
80729,Mostly Cloudy
80730,Mostly Cloudy
80731,Mostly Cloudy
80732,Mostly Cloudy
80733,Mostly Cloudy
80734,Mostly Cloudy
80735,Mostly Cloudy
80736,Mostly Cloudy
80737,Mostly Cloudy
80738,Mostly Cloudy
80739,Mostly Cloudy
80740,Mostly Cloudy
80741,Mostly Cloudy
80742,Mostly Cloudy
80743,Mostly Cloudy
80744,Mostly Cloudy
80745,Mostly Cloudy
80746,Mostly Cloudy
80747,Mostly Cloudy
80748,Mostly Cloudy
80749,Mostly Cloudy
80750,Mostly Cloudy
80751,Mostly Cloudy
80752,Mostly Cloudy
80753,Mostly Cloudy
80754,Mostly Cloudy
80755,Mostly Cloudy
80756,Mostly Cloudy
80757,Foggy
80758,Foggy
80759,Mostly Cloudy
80760,Mostly Cloudy
80761,Foggy
80762,Mostly Cloudy
80763,Foggy
80764,Foggy
80765,Foggy
80766,Mostly Cloudy
80767,Overcast
80768,Mostly Cloudy
80769,Mostly Cloudy
80770,Mostly Cloudy
80771,Mostly Cloudy
80772,Mostly Cloudy
80773,Mostly Cloudy
80774,Mostly Cloudy
80775,
80776,Mostly Cloudy
80777,Mostly Cloudy
80778,Mostly Cloudy
80779,Mostly Cloudy
80780,
80781,Mostly Cloudy
80782,Mostly Cloudy
80783,Mostly Cloudy
80784,Mostly Cloudy
80785,Mostly Cloudy
80786,Mostly Cloudy
80787,Mostly Cloudy
80788,Mostly Cloudy
80789,Mostly Cloudy
80790,Mostly Cloudy
80791,Mostly Cloudy
80792,Mostly Cloudy
80793,Mostly Cloudy
80794,Mostly Cloudy
80795,Mostly Cloudy
80796,Mostly Cloudy
80797,Mostly Cloudy
80798,Mostly Cloudy
80799,Mostly Cloudy
80800,Mostly Cloudy
80801,Mostly Cloudy
80802,Mostly Cloudy
80803,Mostly Cloudy
80804,Mostly Cloudy
80805,Mostly Cloudy
80806,Mostly Cloudy
80807,Mostly Cloudy
80808,Mostly Cloudy
80809,Mostly Cloudy
80810,Mostly Cloudy
80811,Mostly Cloudy
80812,Mostly Cloudy
80813,Mostly Cloudy
80814,Mostly Cloudy
80815,Mostly Cloudy
80816,Mostly Cloudy
80817,Mostly Cloudy
80818,Mostly Cloudy
80819,Mostly Cloudy
80820,Mostly Cloudy
80821,Mostly Cloudy
80822,Mostly Cloudy
80823,Mostly Cloudy
80824,Mostly Cloudy
80825,Mostly Cloudy
80826,Mostly Cloudy
80827,Mostly Cloudy
80828,Mostly Cloudy
80829,Mostly Cloudy
80830,Mostly Cloudy
80831,Mostly Cloudy
80832,Mostly Cloudy
80833,Mostly Cloudy
80834,Mostly Cloudy
80835,Foggy
80836,Foggy
80837,Foggy
80838,Foggy
80839,Foggy
80840,Mostly Cloudy
80841,Mostly Cloudy
80842,Mostly Cloudy
80843,Mostly Cloudy
80844,Mostly Cloudy
80845,Mostly Cloudy
80846,Mostly Cloudy
80847,Mostly Cloudy
80848,Mostly Cloudy
80849,Mostly Cloudy
80850,Mostly Cloudy
80851,Mostly Cloudy
80852,Mostly Cloudy
80853,Mostly Cloudy
80854,Foggy
80855,Foggy
80856,Foggy
80857,Foggy
80858,Foggy
80859,Foggy
80860,Foggy
80861,Foggy
80862,Foggy
80863,Overcast
80864,Foggy
80865,Foggy
80866,Foggy
80867,Mostly Cloudy
80868,Mostly Cloudy
80869,Mostly Cloudy
80870,Mostly Cloudy
80871,Mostly Cloudy
80872,Mostly Cloudy
80873,Mostly Cloudy
80874,Foggy
80875,Foggy
80876,Mostly Cloudy
80877,Foggy
80878,Foggy
80879,Mostly Cloudy
80880,Mostly Cloudy
80881,Mostly Cloudy
80882,Mostly Cloudy
80883,Mostly Cloudy
80884,Mostly Cloudy
80885,Mostly Cloudy
80886,Mostly Cloudy
80887,Mostly Cloudy
80888,Mostly Cloudy
80889,Mostly Cloudy
80890,Mostly Cloudy
80891,Mostly Cloudy
80892,Mostly Cloudy
80893,Mostly Cloudy
80894,Mostly Cloudy
80895,Mostly Cloudy
80896,Mostly Cloudy
80897,Mostly Cloudy
80898,Mostly Cloudy
80899,Mostly Cloudy
80900,Mostly Cloudy
80901,Mostly Cloudy
80902,Mostly Cloudy
80903,Mostly Cloudy
80904,Mostly Cloudy
80905,Mostly Cloudy
80906,Mostly Cloudy
80907,Mostly Cloudy
80908,Mostly Cloudy
80909,Mostly Cloudy
80910,Mostly Cloudy
80911,Mostly Cloudy
80912,Mostly Cloudy
80913,Mostly Cloudy
80914,Mostly Cloudy
80915,Mostly Cloudy
80916,Mostly Cloudy
80917,Mostly Cloudy
80918,Mostly Cloudy
80919,Mostly Cloudy
80920,Mostly Cloudy
80921,Mostly Cloudy
80922,Mostly Cloudy
80923,Mostly Cloudy
80924,Mostly Cloudy
80925,Mostly Cloudy
80926,Mostly Cloudy
80927,Mostly Cloudy
80928,Foggy
80929,Foggy
80930,Foggy
80931,Foggy
80932,Foggy
80933,Foggy
80934,Foggy
80935,Foggy
80936,Foggy
80937,Mostly Cloudy
80938,Mostly Cloudy
80939,Mostly Cloudy
80940,Mostly Cloudy
80941,Mostly Cloudy
80942,Mostly Cloudy
80943,Foggy
80944,Foggy
80945,Foggy
80946,Foggy
80947,Foggy
80948,Foggy
80949,Foggy
80950,Foggy
80951,Foggy
80952,Foggy
80953,Foggy
80954,Foggy
80955,Foggy
80956,Foggy
80957,Foggy
80958,Foggy
80959,Foggy
80960,Overcast
80961,Foggy
80962,Foggy
80963,Foggy
80964,Foggy
80965,Foggy
80966,Foggy
80967,Foggy
80968,Foggy
80969,Foggy
80970,Foggy
80971,Overcast
80972,Foggy
80973,Foggy
80974,Mostly Cloudy
80975,Mostly Cloudy
80976,Mostly Cloudy
80977,Mostly Cloudy
80978,Mostly Cloudy
80979,Mostly Cloudy
80980,Mostly Cloudy
80981,Mostly Cloudy
80982,Mostly Cloudy
80983,Mostly Cloudy
80984,Mostly Cloudy
80985,Mostly Cloudy
80986,Mostly Cloudy
80987,Mostly Cloudy
80988,Mostly Cloudy
80989,Mostly Cloudy
80990,Mostly Cloudy
80991,Mostly Cloudy
80992,Mostly Cloudy
80993,Mostly Cloudy
80994,Mostly Cloudy
80995,Mostly Cloudy
80996,Mostly Cloudy
80997,Mostly Cloudy
80998,Mostly Cloudy
80999,Mostly Cloudy
81000,Mostly Cloudy
81001,Mostly Cloudy
81002,Mostly Cloudy
81003,Mostly Cloudy
81004,Mostly Cloudy
81005,Mostly Cloudy
81006,Mostly Cloudy
81007,Mostly Cloudy
81008,Mostly Cloudy
81009,Mostly Cloudy
81010,Mostly Cloudy
81011,Mostly Cloudy
81012,Mostly Cloudy
81013,Mostly Cloudy
81014,Mostly Cloudy
81015,Mostly Cloudy
81016,Mostly Cloudy
81017,Mostly Cloudy
81018,Mostly Cloudy
81019,Mostly Cloudy
81020,Mostly Cloudy
81021,Mostly Cloudy
81022,Mostly Cloudy
81023,Mostly Cloudy
81024,Mostly Cloudy
81025,Mostly Cloudy
81026,Mostly Cloudy
81027,Mostly Cloudy
81028,Mostly Cloudy
81029,Mostly Cloudy
81030,Mostly Cloudy
81031,Mostly Cloudy
81032,Mostly Cloudy
81033,Mostly Cloudy
81034,Mostly Cloudy
81035,Mostly Cloudy
81036,Mostly Cloudy
81037,Mostly Cloudy
81038,Mostly Cloudy
81039,Mostly Cloudy
81040,Mostly Cloudy
81041,Mostly Cloudy
81042,Mostly Cloudy
81043,Mostly Cloudy
81044,Mostly Cloudy
81045,Mostly Cloudy
81046,Mostly Cloudy
81047,Mostly Cloudy
81048,Mostly Cloudy
81049,Mostly Cloudy
81050,Mostly Cloudy
81051,Mostly Cloudy
81052,Mostly Cloudy
81053,Mostly Cloudy
81054,Mostly Cloudy
81055,Mostly Cloudy
81056,Mostly Cloudy
81057,Mostly Cloudy
81058,Mostly Cloudy
81059,Mostly Cloudy
81060,Mostly Cloudy
81061,Mostly Cloudy
81062,Mostly Cloudy
81063,Mostly Cloudy
81064,Mostly Cloudy
81065,Mostly Cloudy
81066,Mostly Cloudy
81067,Mostly Cloudy
81068,Mostly Cloudy
81069,Mostly Cloudy
81070,Mostly Cloudy
81071,Mostly Cloudy
81072,Mostly Cloudy
81073,Mostly Cloudy
81074,Mostly Cloudy
81075,Mostly Cloudy
81076,Mostly Cloudy
81077,Mostly Cloudy
81078,Mostly Cloudy
81079,Mostly Cloudy
81080,Mostly Cloudy
81081,Mostly Cloudy
81082,Mostly Cloudy
81083,Mostly Cloudy
81084,Mostly Cloudy
81085,Mostly Cloudy
81086,Mostly Cloudy
81087,Mostly Cloudy
81088,Mostly Cloudy
81089,Mostly Cloudy
81090,Mostly Cloudy
81091,Mostly Cloudy
81092,Mostly Cloudy
81093,Mostly Cloudy
81094,Mostly Cloudy
81095,Mostly Cloudy
81096,Mostly Cloudy
81097,Mostly Cloudy
81098,Mostly Cloudy
81099,Mostly Cloudy
81100,Mostly Cloudy
81101,Mostly Cloudy
81102,Mostly Cloudy
81103,Mostly Cloudy
81104,Mostly Cloudy
81105,Mostly Cloudy
81106,Mostly Cloudy
81107,Mostly Cloudy
81108,Mostly Cloudy
81109,Mostly Cloudy
81110,Mostly Cloudy
81111,Mostly Cloudy
81112,Mostly Cloudy
81113,Mostly Cloudy
81114,Mostly Cloudy
81115,Mostly Cloudy
81116,Mostly Cloudy
81117,Mostly Cloudy
81118,Foggy
81119,Foggy
81120,Foggy
81121,Foggy
81122,Foggy
81123,Foggy
81124,Foggy
81125,Foggy
81126,Foggy
81127,Foggy
81128,Mostly Cloudy
81129,Mostly Cloudy
81130,Mostly Cloudy
81131,
81132,
81133,Mostly Cloudy
81134,Mostly Cloudy
81135,Mostly Cloudy
81136,Foggy
81137,Mostly Cloudy
81138,Foggy
81139,Foggy
81140,Mostly Cloudy
81141,Foggy
81142,Foggy
81143,Foggy
81144,Foggy
81145,Foggy
81146,Foggy
81147,Overcast
81148,Foggy
81149,Mostly Cloudy
81150,Mostly Cloudy
81151,Mostly Cloudy
81152,Mostly Cloudy
81153,Mostly Cloudy
81154,Mostly Cloudy
81155,Mostly Cloudy
81156,Mostly Cloudy
81157,Mostly Cloudy
81158,Mostly Cloudy
81159,Mostly Cloudy
81160,Mostly Cloudy
81161,Mostly Cloudy
81162,Mostly Cloudy
81163,Mostly Cloudy
81164,Mostly Cloudy
81165,Mostly Cloudy
81166,Mostly Cloudy
81167,Mostly Cloudy
81168,Mostly Cloudy
81169,Mostly Cloudy
81170,Mostly Cloudy
81171,Mostly Cloudy
81172,Mostly Cloudy
81173,Mostly Cloudy
81174,Mostly Cloudy
81175,Mostly Cloudy
81176,Mostly Cloudy
81177,Mostly Cloudy
81178,Mostly Cloudy
81179,Mostly Cloudy
81180,Mostly Cloudy
81181,Mostly Cloudy
81182,Mostly Cloudy
81183,Mostly Cloudy
81184,Mostly Cloudy
81185,Mostly Cloudy
81186,Mostly Cloudy
81187,Mostly Cloudy
81188,Mostly Cloudy
81189,Mostly Cloudy
81190,Mostly Cloudy
